i_ind,treat,day,rep,string,i_treatday,ncell,V_oc_max,V_oc_last,V_ns_max,V_ns_last,V_ns_diff,min_pos,V_min_oc,V_min_ns,V_min_diff,eq_pos,V_eq,inc_o,inc_n
46.0,caged,7.0,5.0,4.0,2.0,12.0,388.2668635574429,388.2668635574429,211.0842188870752,103.43743432041956,107.64678456665564,2.0,102.75481777081154,163.77500420926953,-61.02018643845798,0.9212497996594355,202.6070130364335,10.86127403634897,4.628514037300756
47.0,caged,10.0,1.0,1.0,3.0,13.0,335.86475376732534,335.86475376732534,239.13921366886342,107.2414249520101,131.8977887168533,2.0,94.43658163932021,190.52166735700865,-96.08508571768844,0.7696988827762148,208.76300556802533,11.727224628779704,6.473752650184636
48.0,caged,10.0,1.0,2.0,3.0,11.0,415.40404330901856,415.40404330901856,242.89043269012382,145.211170093587,97.67926259653683,1.0,143.49459446771456,242.89043269012382,-99.39583822240925,0.7310636522535507,216.62092855684483,9.692114650282273,3.724976720514057
49.0,caged,10.0,1.0,3.0,3.0,13.0,293.90217881194326,293.90217881194326,265.31818489517866,85.72425568786268,179.59392920731597,2.0,102.60230818224959,204.4982389482548,-101.89593076600521,0.9195412627490205,250.8682841332162,9.483859712714459,3.9219194204542194
50.0,caged,10.0,1.0,4.0,3.0,8.0,299.0125246776509,299.0125246776509,239.416112645278,51.728567490487244,187.68754515479074,2.0,133.4854304970429,206.92831548348087,-73.44288498643797,0.9960933904891383,238.68289069630598,7.0,3.814460292475419
51.0,caged,10.0,2.0,1.0,3.0,7.0,462.6473114857377,462.6473114857377,275.8842049884395,275.8842049884395,0.0,4.0,51.26587587943323,151.23303608378217,-99.96716020434894,0.6936951346317216,262.306510570896,4.340625100962139,2.4922799521544956
52.0,caged,10.0,2.0,2.0,3.0,9.0,384.8197934408787,384.8197934408787,303.7104611411607,303.7104611411607,0.0,2.0,91.46877079830321,195.8884261355023,-104.41965533719909,0.8395246611918303,238.151596184863,8.0,2.8823242425866575
53.0,caged,10.0,2.0,3.0,3.0,8.0,418.628578189683,418.628578189683,269.02443040483735,269.02443040483735,0.0,3.0,64.3140515235124,182.42815046539138,-118.11409894187898,0.6447687295233223,259.22989606496,7.0,2.688836294861335
54.0,caged,10.0,3.0,1.0,3.0,9.0,354.7725121842765,354.7725121842765,190.16378754244786,190.16378754244786,0.0,1.0,124.79334993470955,170.9209409110511,-46.12759097634155,0.7811122831817967,175.1329636752804,6.797617964057497,5.08186564958501
55.0,caged,10.0,3.0,2.0,3.0,10.0,261.39672519238457,261.39672519238457,187.09145420136397,82.01530846009176,105.07614574127221,4.0,53.60706612045084,98.25391837415275,-44.64685225370191,1.7676714490020509,164.57703950523128,8.308679608821404,6.343450094814573
