treatday,V_oc_max,V_oc_min,V_ns_max,V_ns_min,V_eq,eq_pos,oc_thresh_pos,ns_thresh_pos
Control,488.66696309749796,20.95581227500096,212.29332097259748,1.33053136815305,189.60382605554088,3.270833333333333,12.4375,20.0
Caged day 4,438.2952315022818,24.241580273951048,176.26963766512307,0.9930601028253653,167.00868150640963,2.33695652173913,10.326086956521738,19.0
Caged day 7,499.9649801706979,27.06984622337393,165.8161200027653,2.7514999563199303,149.2727839524143,1.4090909090909092,5.5,14.59090909090909
Caged day 10,516.0587218317438,25.554783596521798,195.01022862439967,1.6127578425108362,186.51366269388956,1.15,5.425,13.3
Banked day 10,542.1638230706268,27.645244535397104,199.91282793193815,0.23104601458405558,179.42019473855822,2.090909090909091,6.863636363636363,18.0
