i_ind,treat,day,rep,string,i_treatday,ncell,V_oc_max,V_oc_last,V_ns_max,V_ns_last,V_ns_diff,min_pos,V_min_oc,V_min_ns,V_min_diff,eq_pos,V_eq,inc_o,inc_n
10,caged,4,1,2,1,15,380.82999031080556,380.82999031080556,229.70377775935756,30.14855697349673,199.55522078586083,6.0,74.63125338467086,146.98948692221003,-72.35823353753918,2.1014168180587487,223.87269952750302,10.498314767892897,9.469593015110124
11,caged,4,2,1,1,11,308.6287867274777,308.6287867274777,202.3823506019746,60.43777164474698,141.9445789572276,5.0625,71.01417772969046,119.05939146904706,-48.0452137393566,1.7252978537794228,187.03211104108527,9.090475220451443,8.137116390753885
12,caged,4,2,2,1,10,305.507569639178,305.507569639178,201.24130953281397,109.16670103346137,92.0746084993526,4.949999999999999,69.80141349476054,123.4121947705549,-53.610781275794366,1.5488770928550109,192.47776824319942,8.81321894436985,7.875230978241594
13,caged,4,2,3,1,10,277.0837878665454,277.0837878665454,194.8062323668123,177.7873277725379,17.018904594274403,3.8499999999999996,70.10203573164164,127.54465991883036,-57.44262418718873,1.0498141697670884,189.1766479805565,7.1982420143238315,6.370146543144665
14,caged,4,2,4,1,12,320.82648449829463,320.82648449829463,177.40972661705953,57.845303204410634,119.56442341264889,5.9264705882352935,78.2427261060771,116.78098624287725,-38.53826013680015,2.5492768395328937,175.99931610644583,11.477389300646614,10.250655674168216
15,caged,4,2,5,1,12,327.9152489736421,327.9152489736421,163.11446781615277,59.96450496897033,103.14996284718244,5.161764705882352,71.6914024436081,115.93118208342615,-44.23977963981805,2.367967351748099,162.76070482038043,9.14569348842668,8.210696750277409
16,caged,4,3,1,1,14,360.40912980002133,360.40912980002133,241.1792084979976,101.70945189667539,139.46975660132222,5.131578947368421,97.01220344721817,151.0443511076678,-54.03214766044964,1.7661941151363612,238.77049154550332,11.09486171939854,9.996359531111494
17,caged,4,3,2,1,15,322.7044399291392,322.7044399291392,202.04162600126077,105.35281941360951,96.68880658765126,3.2,68.12884267749666,152.04467051297445,-83.91582783547778,0.992178797986228,200.32380628140595,5.503042062655269,4.926247293885519
18,caged,4,3,3,1,13,345.27443315522544,345.27443315522544,190.22420127772992,34.91498465552289,155.30921662220703,4.277777777777778,99.28094095815706,151.08454507577338,-51.80360411761632,2.1958414875555787,186.88388845788558,9.69320845152243,8.697381164558099
19,caged,4,3,4,1,16,321.4673909697948,321.4673909697948,214.64545114184082,31.007394313065934,183.6380568287749,4.25,86.00116451012963,137.70414989001546,-51.70298537988583,1.3661769518232811,214.52811037067715,8.884798546137555,7.940179787034966
20,caged,4,4,1,1,15,331.3545004739151,331.3545004739151,165.08058147883906,56.02643743874059,109.05414404009848,5.800000000000001,65.57429646933423,116.57879321599206,-51.004496746657836,2.4639217665103894,164.62870021846297,9.525350416802759,8.56371375274966
21,caged,4,4,2,1,16,337.90789432895156,337.90789432895156,162.43780098312772,86.56317677445193,75.87462420867578,4.4523809523809526,56.055088802908315,111.28413280245859,-55.22904399955027,1.8325561305696978,154.40798203952133,6.441877929423417,5.784709646240003
22,caged,4,4,3,1,13,375.9734153845194,375.9734153845194,172.16317246735468,62.07599169647617,110.08718077087852,5.833333333333333,62.56976959122446,113.87396614056341,-51.304196549338954,2.62381482560565,167.18076232844433,9.029674304507772,8.133895375958378
23,caged,4,4,4,1,16,234.1623970180893,234.1623970180893,170.24013085307746,153.91604962096943,16.32408123210803,3.4404761904761907,61.161501089750324,118.70665645395533,-57.54515536420501,0.7843776165914313,168.07899282193804,5.897246478804384,5.192031816892508
24,caged,4,5,1,1,12,335.89534133373576,335.89534133373576,186.57311479933398,60.48387282626721,126.08924197306678,3.25,132.22340127788578,158.058370624154,-25.834969346268224,2.1203737910646177,186.47246486683096,9.653849689589483,8.676372273239492
25,caged,4,5,2,1,12,339.68702077804414,339.68702077804414,139.04558838322734,48.40882768753985,90.63676069568749,4.205882352941176,62.952595083100235,91.22669249931944,-28.274097416219206,2.2180036153434024,134.68349311971994,6.733513278706724,6.028218263059811
26,caged,4,5,3,1,13,301.85838274923896,301.85838274923896,187.85159386584888,65.44415532788673,122.40743853796215,3.5,94.04709139801884,139.32743425892056,-45.280342860901726,1.4747186521514553,187.14126860987213,8.083363405754875,7.224090962379822
27,caged,4,5,4,1,10,298.5483394786286,298.5483394786286,179.0892478921871,27.056929812788574,152.03231807939852,2.3833333333333333,151.42122453526838,163.33770733814205,-11.916482802873674,10.66356261727529,37.849750537407,9.512250574005638,8.45742746446897
28,caged,7,1,1,2,16,320.95862564596325,320.95862564596325,225.3487542077146,68.49545132721072,156.85330288050386,3.4404761904761907,105.12557241632726,144.61163737923502,-39.48606496290776,1.1768527467110244,224.5151348318523,8.488918643813173,7.608156815168689
29,caged,7,1,2,2,16,287.511172763558,287.511172763558,229.88176047061634,53.427016035434534,176.4547444351818,3.0357142857142856,98.92302727336714,152.95399018309374,-54.0309629097266,0.6955071993478772,227.93731718662806,7.611151306360187,6.776087480856967
30,caged,7,1,3,2,13,309.79051863458005,309.79051863458005,251.3699501570208,251.3699501570208,0.0,2.7222222222222223,84.93252156397054,157.8076644988773,-72.87514293490676,0.5713915914097052,240.1327838548443,5.68705543810295,5.084754726216842
31,caged,7,2,1,2,5,231.45615811588152,231.45615811588152,215.3081311223702,215.3081311223702,0.0,1.65,76.76889873893231,130.36938366578704,-53.60048492685473,0.15348428271103903,208.61007414179653,3.6058818878547485,3.1702369535404826
32,caged,7,2,2,2,5,334.27973378081106,334.27973378081106,208.39224269646581,208.39224269646581,0.0,1.95,59.44755220503549,125.51953802716483,-66.07198582212934,0.6597744193603967,184.25124574487376,2.969042222140004,2.6653311352358746
33,caged,7,2,3,2,5,252.81219603957197,252.81219603957197,209.6207609991053,209.6207609991053,0.0,1.7999999999999998,70.85333975711424,116.43079722732581,-45.57745747021157,0.4081101275413429,188.1897046720863,3.495633386627495,3.0863168064773188
34,caged,7,2,4,2,7,201.91090436060762,201.91090436060762,210.82595837608406,210.82595837608406,0.0,1.3333333333333333,86.08765816871059,139.45080299327736,-53.363144824566774,8.0,34.90649816012589,3.634404573785907,3.162707051070318
35,caged,7,3,1,2,9,319.78572840519325,319.78572840519325,160.44847087216706,146.05162156711546,14.396849305051603,2.5,52.87325992121174,115.88647121332494,-63.0132112921132,0.9248111915927504,154.98662931172422,3.4817164700178944,3.113854291260586
36,caged,7,3,2,2,12,238.91982283988352,238.91982283988352,144.05840804710388,80.65069441381543,63.40771363328845,2.485294117647059,61.44714769012023,121.68707545094856,-60.23992776082832,0.9078974546446689,139.3590814413525,4.2822537855668275,3.763701824144267
37,caged,7,3,3,2,14,236.99893891946311,236.99893891946311,162.35305164064343,157.1229868334063,5.230064807237142,2.1710526315789473,56.26855606448216,112.12471874630627,-55.85616268182411,0.5475461809275024,158.5261730750309,3.386207361880268,2.9890689315176813
38,caged,7,3,4,2,10,308.588843789363,308.588843789363,132.2491388412975,74.01767821338545,58.23146062791206,3.6666666666666665,61.554393362502225,101.44795237197815,-39.89355900947592,1.8199882765408046,132.22389741986945,5.906052369371658,5.260572127276381
39,caged,7,4,1,2,13,448.1447108624824,448.1447108624824,192.3029348578442,84.51338469667378,107.78955016117042,2.3333333333333335,52.80384493212707,147.58928956195953,-94.78544462983245,0.9497419799771255,190.584970793307,3.0685970537066902,2.796115420594851
40,caged,7,4,2,2,15,357.24762680386584,357.24762680386584,201.2293328862097,89.18441591172412,112.04491697448559,3.2,69.11103058746521,128.27725422443274,-59.16622363696753,1.2506246023980576,190.72673345086938,5.397029870049304,4.857685280098319
41,caged,7,4,3,2,12,397.09017341556216,397.09017341556216,201.82197389892414,201.82197389892414,0.0,3.25,54.560640511382324,106.97340181842563,-52.412761307043304,1.5004295602492959,153.19437248765738,4.474110078150778,4.045514636950398
42,caged,7,4,4,2,14,361.7175689047436,361.7175689047436,192.44378590918453,131.3076149984867,61.136170910697814,2.3684210526315788,58.81569495153994,133.916090312142,-75.10039536060205,0.8387403173667991,189.68599925236745,3.529178164299587,3.17232583242914
43,caged,7,5,1,2,17,297.754404437125,297.754404437125,183.83715124158925,169.24986313293866,14.587288108650597,2.659090909090909,61.07031555195098,127.34995650037983,-66.27964094842885,0.8233661577823096,178.54787899345655,4.290357845311552,3.8184105015754497
44,caged,7,5,2,2,13,349.6222231317831,349.6222231317831,197.71665478415164,82.56173924756455,115.1549155365871,3.111111111111111,63.738906074309355,128.95902802985225,-65.2201219555429,1.1260934194036973,189.01092838658127,4.980026097973805,4.46696978244035
45,caged,7,5,3,2,15,324.1669202517188,324.1669202517188,202.28192272520124,115.01712779245489,87.26479493274636,3.4000000000000004,69.4687703537162,117.72886197665716,-48.26009162294096,1.1901689167219913,189.70959054507517,5.932199089025083,5.311858367949884
46,caged,7,5,4,2,12,372.27210561967036,372.27210561967036,205.2580490942497,104.17847461827554,101.07957447597417,2.676470588235294,66.13348155487239,144.7176933521163,-78.58421179724391,0.9824454891057673,201.74567325028818,4.331243585495202,3.899782209201888
47,caged,10,1,1,3,13,330.87697709201655,330.87697709201655,238.5222638085514,107.03225810181354,131.49000570673786,2.3333333333333335,81.18568531202455,175.63878850962416,-94.45310319759962,0.6070259298444667,234.9704433677041,4.569557957355902,4.096396288299747
48,caged,10,1,2,3,11,402.50158184297896,402.50158184297896,237.9311458436578,143.0311757702228,94.89997007343499,1.875,70.55126207505987,181.92079397153887,-111.369531896479,0.6299309218204079,237.00146416182554,3.10202573675098,2.8011706584972638
49,caged,10,1,3,3,13,314.0329724305808,314.0329724305808,258.53466213642395,84.35716446025995,174.177497676164,2.3333333333333335,110.3568526672029,187.27450668317223,-76.91765401596933,0.5520780160984339,250.161961871298,6.111733730093562,5.471692878132227
50,caged,10,1,4,3,8,314.51761176738637,314.51761176738637,243.37185824775216,51.07618476039256,192.2956734873596,2.5961538461538463,102.89365490232687,172.6194957780814,-69.72584087575451,0.6914007930982913,238.61381136547018,6.367000192506784,5.697015405037873
51,caged,10,2,1,3,7,437.97662759564514,437.97662759564514,278.36181733020834,277.07504565844886,1.2867716717594817,2.5,63.34867643875624,195.21358383135748,-131.86490739260125,0.7569487335805707,261.8087086771967,3.7610583197750573,3.4154761349273706
52,caged,10,2,2,3,9,386.0823835029145,386.0823835029145,285.6214459695214,285.6214459695214,0.0,2.5,73.53831403024382,172.18409875020654,-98.64578471996272,0.6854364691760534,256.4402877872454,4.335130414406242,3.90370818450333
53,caged,10,2,3,3,8,402.2763676768119,402.2763676768119,274.1444382364832,272.6723145787136,1.4721236577696004,2.423076923076923,64.39772787486872,191.10091152509807,-126.70318365022935,0.6302196150630627,262.06769518317077,3.7552090148549935,3.4007774705261147
54,caged,10,3,1,3,9,342.90594312022495,342.90594312022495,199.55718139342397,197.156724622184,2.4004567712399876,2.142857142857143,59.028065840041336,117.45207654901586,-58.42401070897452,0.7919309373507066,175.91221763487198,3.245794995136473,2.910997200385376
55,caged,10,3,2,3,10,267.4418071398794,267.4418071398794,161.37288407208243,59.021123858635335,102.3517602134471,2.933333333333333,98.10085429767608,145.6644607023847,-47.56360640470862,1.6251993803191134,153.457919520504,7.660326815176761,6.783300843495192
56,caged,10,3,3,3,9,341.04529198555696,341.04529198555696,190.4704221597747,186.48715360623166,3.9832685535430414,1.9642857142857144,59.70816663013861,118.8652462263674,-59.1570795962288,0.7351375069956572,174.72361180740967,3.007516542335456,2.69300055784234
57,caged,10,3,4,3,9,238.02160881158267,238.02160881158267,216.2756030357971,216.2756030357971,0.0,1.7857142857142858,82.49882790465232,125.4313918177197,-42.93256391306738,0.25800189033529763,204.4162733299776,4.13009070524009,3.647234656169516
58,caged,10,4,1,3,11,387.5577476370548,387.5577476370548,234.9086307543585,141.77549298019318,93.13313777416533,2.625,73.07085954766882,156.52730744783344,-83.45644790016462,0.8773918250438032,231.7889830284186,4.482690859296575,4.056607440922521
59,caged,10,4,2,3,12,376.626602478145,376.626602478145,200.3078433503398,170.53676518762572,29.771078162714076,2.102941176470588,68.16329042824503,137.95904158376027,-69.79575115551523,0.854165324600441,192.34840654378348,3.4611497288524973,3.124207498172227
60,caged,10,4,3,3,12,288.1372336293731,288.1372336293731,215.03635214230667,141.9849912883865,73.05136085392016,1.9117647058823528,96.07744504573239,169.9857191241842,-73.9082740784518,0.5645921562776757,210.8510214295395,4.646583673167359,4.139325222130772
61,caged,10,4,4,3,11,279.0608357272421,279.0608357272421,194.1452617459533,37.62187697330946,156.52338477264382,2.4375,109.02093897306708,170.7516764232084,-61.73073745014133,1.1531364795876926,180.59005127042624,6.946415487441012,6.153770527995006
62,caged,10,4,5,3,15,373.7941235453444,373.7941235453444,222.893680994883,38.61528151263476,184.27839948224823,3.0,75.7714972408846,144.4469640365147,-68.67546679563009,1.0850796781916183,217.85335144472572,5.334011560983392,4.806417539872878
63,banked,10,1,1,4,16,461.90598223340896,461.90598223340896,214.68559737478932,117.8090166864345,96.87658068835482,4.654761904761905,66.15954334257358,122.33888211528259,-56.179338772709,2.3794486887728468,180.55452267525948,7.100983567753483,6.461794664137343
64,banked,10,1,2,4,17,435.1846456039144,435.1846456039144,221.40186503753395,148.34202531691201,73.05983972062194,4.090909090909091,74.90341655288586,134.90346559616833,-60.00004904328247,1.9193034740773163,202.57393007653116,6.854129175197219,6.2281064024606945
65,banked,10,2,1,4,16,482.5706274036145,482.5706274036145,218.11248329581002,61.24562001011066,156.86686328569937,4.25,62.60394441322028,136.6150282009254,-74.0110837877051,2.0292194808992194,195.77032377360828,6.188657552120484,5.644626031491843
66,banked,10,2,2,4,6,425.5494972021282,425.5494972021282,237.19542504996386,25.695409531771304,211.50001551819255,4.613636363636363,72.32730561895886,138.42129753321848,-66.09399191425962,1.9280886191898343,215.2386358733817,7.0,6.902858812653239
67,banked,10,3,1,4,9,551.4051581439638,551.4051581439638,239.83056069850903,52.14021858684516,187.69034211166388,3.392857142857143,60.626078837170795,151.88292947957757,-91.25685064240677,1.666777060666548,214.69978379893098,4.682169019451998,4.305485678212143
68,banked,10,3,2,4,11,518.4795444316075,518.4795444316075,243.01666843983222,60.86865001177296,182.14801842805926,3.1875,76.72107451054615,152.75936504462948,-76.03829053408333,1.6076908514625328,225.95927597243116,5.069000929982977,4.659174137830208
69,banked,10,4,1,4,7,338.3669667062119,338.3669667062119,208.2679188284667,204.5086796048538,3.7592392236128944,3.333333333333333,59.27137142467649,130.81743643970583,-71.54606501502934,1.0954416770537858,188.8682078631253,5.051292064988624,4.534891443246519
70,banked,10,4,2,4,7,448.93466098891156,448.93466098891156,204.99284961221787,69.7059409300116,135.28690868220627,3.833333333333333,65.63501597502389,134.0856918073063,-68.4506758322824,1.78002339384213,194.28492623499295,5.8406048264612735,5.316775149506297
71,banked,10,4,3,4,9,454.77678938338806,454.77678938338806,209.6012633903413,94.20507040694181,115.39619298339949,3.928571428571429,58.82992804734245,133.30488024472638,-74.47495219738393,1.758897291842762,189.25064332710815,5.568459164649396,5.068581692303107
72,banked,10,4,4,4,10,398.29677775450295,398.29677775450295,178.03017094310866,137.16132300854883,40.868847934559824,3.483333333333333,51.12931210822252,131.22475305640222,-80.0954409481797,1.367689252383411,172.1519121554909,4.5564762218164,4.118781432060671
73,banked,10,4,5,4,7,406.1429673693534,406.1429673693534,227.27190826659648,68.89320060116653,158.37870766542994,4.166666666666666,71.16755458691166,131.9984060567009,-60.83085146978924,1.7723603268222679,201.92129089207538,6.925299082063738,6.260615770906057
