string,bead,code,Volume
1,1,o,56680876.646
1,2,n,47661129.542
1,3,o,4378898.851
1,4,n,16581607.097
1,5,o,1261803.527
1,6,n,5754291.921
1,7,o,773932.534
1,8,n,2856195.869
1,9,o,251706.320
1,10,n,1066122.832
2,1,o,169424089.461
2,2,n,36931813.427
2,3,o,5371208.014
2,4,n,20921767.812
2,5,o,1793100.789
2,6,n,6066650.955
2,7,o,698226.520
2,8,n,2894067.189
2,9,o,311968.356
2,10,n,1621141.555
3,1,o,71532636.116
3,2,n,39919789.769
3,3,o,4739579.834
3,4,n,14584181.868
3,5,o,1454334.384
3,6,n,3912673.844
3,7,o,627977.785
3,8,n,2306316.998
3,9,o,167295.519
3,10,n,1116727.803
4,1,o,35974701.884
4,2,n,40692660.148
4,3,o,3142721.339
4,4,n,14028650.380
4,5,o,1720312.649
4,6,n,5562469.168
4,7,o,469130.672
4,8,n,1939287.503
4,9,o,252023.746
4,10,n,852959.309
4,11,o,138043.525
4,12,n,672222.035
4,13,o,133758.279
4,14,n,303495.534
