string,bead,code,Volume
1,1,o,403222256.522
1,2,n,2516123.135
1,3,o,18091503.176
1,4,n,30567624.773
1,5,o,2307879.709
1,6,n,14179635.105
1,7,o,1058797.625
1,8,n,8572701.930
1,9,o,1144783.346
1,10,n,4765767.449
1,11,o,411224.911
1,12,n,2681562.934
1,13,o,277002.702
1,14,n,1525877.239
1,15,o,354271.427
1,16,n,1112662.313
1,17,o,120463.029
1,18,n,560695.759
1,19,o,89245.438
1,20,n,363110.510
1,21,o,19521.677
1,22,n,510725.639
1,23,o,29386.289
1,24,n,414386.959
1,25,o,4614.880
1,26,n,123722.746
2,1,o,188333317.700
2,2,n,2848516.610
2,3,o,46901041.649
2,4,n,34961296.125
2,5,o,5956101.373
2,6,n,18241511.206
2,7,o,2083435.368
2,8,n,9021016.806
2,9,o,663370.744
2,10,n,4864914.125
2,11,o,350730.910
2,12,n,2788938.260
2,13,o,258469.928
2,14,n,1862580.377
2,15,o,266869.499
2,16,n,1199453.807
2,17,o,287831.799
2,18,n,693343.049
2,19,o,248556.481
2,20,n,726562.862
2,21,o,260948.290
2,22,n,433090.654
2,23,o,84361.967
2,24,n,235371.109
2,25,o,23941.218
2,26,n,239924.946
2,27,o,41021.159
2,28,n,157394.281
2,29,o,33940.126
2,30,n,160080.190
3,1,o,296152575.222
3,3,o,33889874.727
3,4,n,35848476.359
3,5,o,4731424.437
3,6,n,16415422.569
3,7,o,2594295.302
3,8,n,12042432.718
3,9,o,1182459.327
3,10,n,6725541.114
3,11,o,258372.259
3,12,n,2824978.278
3,13,o,692659.363
3,14,n,2074303.276
3,15,o,272363.404
3,16,n,957599.890
3,17,o,429598.972
3,18,n,836648.515
3,19,o,308647.596
3,20,n,486576.873
3,21,o,67489.574
3,22,n,597736.889
3,23,o,12635.982
3,24,n,437803.203
3,25,o,15846.864
3,26,n,311675.348
4,1,o,213945586.459
4,2,n,9428982.000
4,3,o,13903548.054
4,4,n,31458162.394
4,5,o,2083423.159
4,6,n,10842051.051
4,7,o,920143.665
4,8,n,5172108.888
4,9,o,299210.288
4,10,n,3026946.443
4,11,o,449267.152
4,12,n,1616135.997
4,13,o,320087.127
4,14,n,941325.722
4,15,o,192579.691
4,16,n,487455.898
4,17,o,183703.982
4,18,n,465492.486
4,19,o,134002.453
4,20,n,416938.572
4,21,o,43450.686
4,22,n,326350.179
4,23,o,32352.997
4,24,n,164597.401
4,25,o,10304.124
4,26,n,148286.607
4,27,o,10243.081
4,28,n,117032.390
4,29,n,1434238.899
