string,bead,code,Volume
1,1,o,542326227.745
1,2,n,852068.075
1,3,o,141443813.252
1,4,n,42126422.909
1,5,o,24031660.016
1,6,n,31124059.703
1,7,o,7842439.839
1,8,n,22274525.993
1,9,o,2592000.070
1,10,n,11601125.624
1,11,o,1942950.106
1,12,n,5819022.333
1,13,o,448656.718
1,14,n,4291435.880
1,15,o,1908106.539
1,16,n,3024236.117
1,17,o,442784.344
1,18,n,1894322.941
1,19,o,394230.431
1,20,n,1019937.402
1,21,o,147041.321
1,22,n,669877.969
1,23,o,59187.672
1,24,n,665397.384
1,25,o,73630.539
1,26,n,565713.526
1,27,o,62044.503
1,28,n,474307.152
1,29,o,59590.559
1,30,n,325410.111
1,31,o,70370.822
1,32,n,242207.969
2,1,o,318921772.441
2,2,n,69833.640
2,3,o,170871586.985
2,4,n,54285411.879
2,5,o,25345557.973
2,6,n,39850932.823
2,7,o,8851194.091
2,8,n,27714310.152
2,9,o,3826114.315
2,10,n,15365915.748
2,11,o,2660051.243
2,12,n,8260025.471
