string,bead,code,Volume
1,1,o,117405609.384
1,2,n,819092.435
1,3,o,53467051.964
1,4,n,37030483.965
1,5,o,21077184.287
1,6,n,25209943.975
1,7,o,5727713.628
1,8,n,13067363.469
1,9,o,2924088.329
1,10,n,11439153.089
1,11,o,1821840.018
1,12,n,7354910.688
1,13,o,1289273.053
1,14,n,4714271.244
1,15,o,973226.999
1,16,n,4140365.695
1,17,o,958552.167
1,18,n,2939117.212
1,19,o,511384.908
1,20,n,1075206.088
1,21,o,173729.492
1,22,n,1125737.808
2,1,o,128375888.183
2,2,n,5399458.895
2,3,o,42244688.376
2,4,n,33471654.243
2,5,o,17618880.822
2,6,n,27674973.791
2,7,o,5880029.099
2,8,n,15433734.956
2,9,o,3364174.555
2,10,n,11041272.263
2,11,o,4460391.779
2,12,n,7714907.985
2,13,o,1632532.252
2,14,n,4648417.633
2,15,o,852104.701
2,16,n,3868173.212
2,17,o,499982.002
2,18,n,2877292.465
2,19,o,91162.201
2,20,n,1748026.349
3,1,o,92885687.698
3,2,n,24036824.287
3,3,o,23615637.094
3,4,n,24897340.767
3,5,o,9305442.384
3,6,n,18961322.670
3,7,o,4330381.563
3,8,n,14050088.819
3,9,o,2586835.800
3,10,n,9079313.245
3,11,o,657669.291
3,12,n,5164283.125
3,13,o,383938.515
3,14,n,3619909.739
3,15,o,408648.880
3,16,n,1710203.864
3,17,o,240987.101
3,18,n,1360327.561
3,19,o,137066.831
3,20,n,824720.636
4,1,o,92051187.911
4,2,n,1289346.306
4,3,o,107643354.885
4,4,n,8041184.912
4,5,o,44158740.541
4,6,n,29971829.064
4,7,o,13641207.975
4,8,n,23340758.703
4,9,o,6724259.203
4,10,n,13766188.214
4,11,o,2436449.300
4,12,n,7976051.614
4,13,o,1983434.084
4,14,n,5235410.885
4,15,o,1055122.813
4,16,n,4371012.045
4,17,o,729102.267
4,18,n,2520200.833
4,19,o,629430.618
4,20,n,2380997.484
4,21,o,538463.756
4,22,n,1837564.795
4,23,o,309819.629
4,24,n,1630761.994
5,1,o,119209832.279
5,2,n,1127898.744
5,3,o,109685659.215
5,4,n,7102935.777
5,5,o,19613583.516
5,6,n,22428196.626
5,7,o,7397970.697
5,8,n,13420499.489
5,9,o,3225081.083
5,10,n,8654988.422
5,11,o,3146347.317
5,12,n,9388766.613
5,13,o,970785.263
5,14,n,5449367.972
5,15,o,543798.948
5,16,n,2203055.997
5,17,o,377052.820
5,18,n,1782613.534
5,19,o,303898.420
5,20,n,1395110.086
5,21,o,205398.804
5,22,n,992651.006
5,23,o,221575.302
5,24,n,600166.416
