string,bead,code,Volume
1,1,o,508114080.537
1,2,n,1519614.187
1,3,o,336459392.301
1,4,n,65453239.301
1,5,o,109237014.705
1,6,n,57239716.686
1,7,o,37114919.184
1,8,n,51882414.357
1,9,o,13153935.207
1,10,n,38828504.851
1,11,o,5408505.526
1,12,n,19792404.027
1,13,o,1735732.210
1,14,n,11449530.465
1,15,o,787826.010
1,16,n,6933870.000
1,17,o,1406915.877
1,18,n,4036445.425
1,19,o,437986.334
1,20,n,2995838.731
1,21,o,223418.813
1,22,n,1885251.893
1,23,o,377907.428
1,24,n,909143.646
2,1,o,536688528.701
2,2,n,3693650.156
2,3,o,395166030.518
2,4,n,65473346.994
2,5,o,75140630.185
2,6,n,55193908.465
2,7,o,28981998.263
2,8,n,38803940.991
2,9,o,10039208.367
2,10,n,28620389.420
2,11,o,3605259.325
2,12,n,6328063.175
2,13,o,1310687.075
2,14,n,10120933.259
2,15,o,2126190.159
2,16,n,5300751.731
2,17,o,438535.724
2,18,n,4227853.083
2,19,o,663065.527
2,20,n,2394964.211
2,21,o,673430.694
2,22,n,1624022.804
2,23,o,291201.395
2,24,n,993884.082
2,25,o,99671.650
2,26,n,570780.127
2,27,o,172850.467
2,28,n,598322.906
1,25,o,131719.430
1,26,n,515780.032
1,27,o,95056.769
1,28,n,808299.964
1,29,o,168040.248
1,30,n,460059.624
1,31,o,11744.749
1,32,n,491045.250
