string,bead,code,Volume
1,1,o,278556317.080
1,2,n,639563.821
1,3,o,66265665.798
1,4,n,49899309.907
1,5,o,33715217.375
1,6,n,52294200.867
1,7,o,14965080.422
1,8,n,37958892.905
1,9,o,5513378.072
1,10,n,25424938.800
1,11,o,2668853.700
1,12,n,15796222.823
1,13,o,912842.876
1,14,n,8680699.899
1,15,o,800168.984
1,16,n,6024640.893
1,17,o,466200.589
1,18,n,4319662.344
1,19,o,507868.808
1,20,n,2823232.437
1,21,o,479666.761
1,22,n,1975278.687
1,23,o,402105.028
1,24,n,1255430.597
1,25,o,211735.108
1,26,n,975583.273
1,27,o,179772.788
1,28,n,934452.236
1,29,o,262694.131
1,30,n,805137.916
1,31,o,214030.339
1,32,n,959003.888
1,33,o,261021.542
1,34,n,780720.559
1,35,o,271069.284
1,36,n,455066.275
2,1,o,190609821.106
2,2,n,123222.190
2,3,o,165037609.020
2,4,n,36184752.194
2,5,o,54839734.708
2,6,n,51538031.960
2,7,o,14454708.835
2,8,n,34388977.704
2,9,o,5752973.384
2,10,n,30394444.671
2,11,o,4283097.352
2,12,n,19619138.465
2,13,o,2216986.099
2,14,n,15078499.044
2,15,o,950213.640
2,16,n,8085075.111
2,17,o,992028.363
2,18,n,5973620.827
2,19,o,444810.985
2,20,n,5033320.633
2,21,o,455517.996
2,22,n,3119060.921
2,23,o,576420.537
2,24,n,2883836.316
2,25,o,522909.900
2,26,n,2329989.626
2,27,o,317462.262
2,28,n,1013369.133
2,29,o,56904.650
2,30,n,509993.118
2,31,o,48151.027
