string,bead,code,Volume
1,1,o,192099524.031
1,2,n,34002328.862
1,3,o,19998828.360
1,4,n,29961256.348
1,5,o,6130368.047
1,6,n,16056756.018
1,7,o,2750651.845
1,8,n,12868899.195
1,9,o,1338840.287
1,10,n,5880077.934
1,11,o,1047065.085
1,12,n,4661749.510
1,13,o,141132.321
1,14,n,2620482.917
2,1,o,399208433.778
2,2,n,1431943.668
2,3,o,118899878.355
2,4,n,34860647.781
2,5,o,13870303.823
2,6,n,27877454.720
2,7,o,4472197.570
2,8,n,17710152.901
2,9,o,2369667.830
2,10,n,9989238.246
2,11,o,1100319.340
2,12,n,6838788.814
2,13,o,388516.769
2,14,n,1670159.399
3,1,o,416178447.767
3,2,n,3398676.280
3,3,o,105830683.584
3,4,n,39052924.776
3,5,o,10716692.342
3,6,n,30049891.353
3,7,o,4073230.173
3,8,n,14539156.263
3,9,o,2007558.432
3,10,n,8292537.181
3,11,o,1241598.165
3,12,n,5552665.599
3,13,o,642274.147
3,14,n,4311116.269
3,15,o,550635.808
3,16,n,2048420.878
3,17,o,93982.405
3,18,n,2268299.174
4,1,o,314905117.284
4,2,n,10694582.426
4,3,o,27033065.904
4,4,n,25207050.518
4,5,o,6530995.825
4,6,n,16706855.928
4,7,o,2886046.087
4,8,n,10422487.613
4,9,o,1367860.316
4,10,n,6301570.343
4,11,o,870283.423
4,12,n,4880712.155
4,13,o,528782.274
4,14,n,4906789.892
4,15,o,752628.391
4,16,n,2914968.446
4,17,o,322809.663
4,18,n,2045869.264
4,19,o,446385.904
4,20,n,1217681.364
5,1,o,273905482.129
5,2,n,1304216.476
5,3,o,113107434.314
5,4,n,51538215.090
5,5,o,19120890.095
5,6,n,28910894.920
5,7,o,5496053.958
5,8,n,16099230.010
5,9,o,2455397.169
5,10,n,10374556.342
5,11,o,1318573.881
5,12,n,5946004.796
5,13,o,486882.090
5,14,n,4052829.471
