string,bead,code,Volume
1,1,o,414799990.318
1,2,n,87956739.055
1,3,o,22007705.329
1,4,n,70532843.034
1,5,o,6898000.903
1,6,n,43350062.108
1,7,o,2699582.944
1,8,n,20958222.926
1,9,o,564382.780
1,10,n,14488673.378
1,11,o,305155.914
1,12,n,6081533.334
1,13,o,404070.625
1,14,n,2964108.376
2,1,o,238704615.110
2,2,n,117345884.530
2,3,o,38856670.272
2,4,n,48108455.515
2,5,o,3205583.824
2,6,n,31485815.050
2,7,o,796604.050
2,8,n,13491016.814
2,9,o,486637.917
2,10,n,5255604.039
2,11,o,186170.135
2,12,n,2910597.739
2,13,o,70309.778
2,14,n,2352026.290
2,15,o,54047.819
2,16,n,640748.063
2,17,o,99586.189
2,18,n,1039007.357
3,1,o,307308963.113
3,2,n,81557474.869
3,3,o,21095924.608
3,4,n,68507203.549
3,5,o,4529480.689
3,6,n,34042458.788
3,7,o,1114310.485
3,8,n,25431043.139
3,9,o,539110.816
3,10,n,8871301.784
3,11,o,165586.304
3,12,n,4746526.572
3,13,o,336935.103
3,14,n,2945648.854
3,15,o,356786.414
3,16,n,1220513.777
