string,bead,code,Volume
1,1,o,85125778.525
1,2,n,1393315.410
1,3,o,126232532.623
1,4,n,46547624.830
1,5,o,20784676.564
1,6,n,41287637.876
1,7,o,3808704.740
1,8,n,13740391.277
1,9,o,1961189.872
1,10,n,8237305.120
1,11,o,911060.409
1,12,n,3424863.895
1,13,o,544165.209
1,14,n,2112907.117
1,15,o,594941.102
1,16,n,1318757.012
1,17,o,328730.872
1,18,n,907996.030
1,19,o,159774.973
1,20,n,994616.603
1,21,o,224761.767
1,22,n,545752.337
1,23,o,44720.389
1,24,n,262303.453
1,25,o,32084.407
1,26,n,343576.624
1,27,o,35014.489
1,28,n,335653.192
1,29,o,16945.645
1,30,n,249227.959
1,31,o,11061.063
1,32,n,219878.296
2,1,o,78535302.019
2,2,n,563308.416
2,3,o,49873207.753
2,4,n,53223049.320
2,5,o,10159085.379
2,6,n,27154469.001
2,7,o,2693600.691
2,8,n,13920103.022
2,9,o,1673443.533
2,10,n,6652203.583
2,11,o,797031.353
2,12,n,3570940.730
2,13,o,521298.354
2,14,n,2214104.851
2,15,o,473586.840
2,16,n,1448535.262
2,17,o,547315.048
2,18,n,1317572.770
2,19,o,259214.657
2,20,n,676775.872
2,21,o,209623.006
2,22,n,540954.326
2,23,o,132696.124
2,24,n,501752.260
2,25,o,219463.201
2,26,n,316021.638
2,27,o,53681.558
2,28,n,208817.233
2,29,o,27042.222
2,30,n,176329.941
2,31,o,29459.541
2,32,n,259641.961
3,1,o,130624226.169
3,2,n,63394013.743
3,3,o,29150270.476
3,4,n,50880545.799
3,5,o,4495821.363
3,6,n,24014164.980
3,7,o,1595002.775
3,8,n,13425321.916
3,9,o,1790439.297
3,10,n,6342396.163
3,11,o,1484074.724
3,12,n,3804565.998
3,13,o,526377.164
3,14,n,2670086.777
3,15,o,314642.057
3,16,n,1366712.700
3,17,o,337313.572
3,18,n,379958.486
3,19,o,86486.277
3,20,n,159274.417
3,21,o,32414.041
3,22,n,320856.274
3,23,o,105336.476
3,24,n,444517.977
3,25,o,58210.978
3,26,n,415852.000
3,27,o,45172.110
