string,bead,code,Volume
1,1,o,187041724.998
1,2,n,28805277.644
1,3,o,8140722.266
1,4,n,20915797.769
1,5,o,1725525.755
1,6,n,6245215.084
1,7,o,905615.338
1,8,n,3294096.742
1,9,o,416071.756
1,10,n,1659684.353
1,11,o,298111.506
1,12,n,779316.561
1,13,o,90649.436
1,14,n,344858.536
1,15,o,38811.388
1,16,n,395500.133
1,17,o,30924.582
1,18,n,180664.021
2,1,o,74815061.361
2,2,n,2310858.627
2,3,o,17871576.046
2,4,n,3072374.935
2,5,o,18919178.312
2,6,n,27431557.163
2,7,o,6005424.434
2,8,n,11543586.123
2,9,o,645289.691
2,10,n,3973180.054
2,11,o,762419.751
2,12,n,2043036.851
2,13,o,492632.378
2,14,n,818201.202
2,15,o,171006.957
2,16,n,397184.931
2,17,o,57344.162
2,18,n,314617.640
2,19,o,31815.816
2,20,n,234504.293
3,1,o,173304129.508
3,2,n,24897768.071
3,3,o,6216842.116
3,4,n,18090563.108
3,5,o,1237728.014
3,6,n,6849471.407
3,7,o,633056.595
3,8,n,2589570.543
3,9,o,288674.198
3,10,n,1227863.402
3,11,o,322089.351
3,12,n,552833.370
3,13,o,94470.753
3,14,n,278553.204
3,15,o,49884.659
3,16,n,229364.439
3,17,o,19314.129
3,18,n,125395.335
4,1,o,52820394.901
4,2,n,42872324.318
4,3,o,7138768.248
4,4,n,19337117.996
4,5,o,1819398.282
4,6,n,4889954.124
4,7,o,661551.651
4,8,n,2445947.652
4,9,o,338192.597
4,10,n,1564896.175
4,11,o,79673.835
4,12,n,637879.023
4,13,o,43548.355
4,14,n,361560.008
4,15,o,24624.904
4,16,n,180676.230
4,17,o,22134.334
4,18,n,115017.958
