string,bead,code,Volume
1,1,o,124891812.199
1,2,n,20547645.075
1,3,o,8980874.672
1,4,n,20941545.871
1,5,o,3567681.013
1,6,n,13119958.455
1,7,o,1674420.227
1,8,n,6893776.701
1,9,o,1291482.824
1,10,n,3602671.085
1,11,o,343381.286
1,12,n,3353430.918
1,13,o,569730.181
1,14,n,1321552.799
1,15,o,318426.747
1,16,n,927322.368
1,17,o,553443.804
1,18,n,553211.839
1,19,o,188001.437
1,20,n,449547.952
1,21,o,93115.589
1,22,n,291811.828
1,23,o,220842.782
1,24,n,417011.824
1,25,o,35160.993
1,26,n,319195.894
1,27,o,96460.767
1,28,n,252280.128
1,29,o,21145.431
1,30,n,166953.676
1,31,o,18715.904
1,32,n,150801.594
1,33,o,39116.605
1,34,n,306950.590
2,1,o,196030755.067
2,2,n,2339011.839
2,3,o,25150890.598
2,4,n,36924866.689
2,5,o,5166785.904
2,6,n,15542221.271
2,7,o,2197684.179
2,8,n,8102350.391
2,9,o,1061031.813
2,10,n,3557596.645
2,11,o,825123.522
2,12,n,2981517.951
2,13,o,274988.270
2,14,n,1812073.075
2,15,o,345786.395
2,16,n,1441783.863
2,17,o,302006.075
2,18,n,1027116.105
2,19,o,159042.452
2,20,n,829604.107
2,21,o,66195.454
2,22,n,611666.991
2,23,o,46673.777
2,24,n,262742.965
2,25,o,17873.505
2,26,n,616660.340
3,1,o,136752164.689
3,2,n,5826823.679
3,3,o,42551150.618
3,4,n,36176865.387
3,5,o,7041245.326
3,6,n,15619880.674
3,7,o,1759880.976
3,8,n,6950852.272
3,9,o,617270.774
3,10,n,3964133.423
3,11,o,783125.669
3,12,n,2499299.576
3,13,o,672771.426
3,14,n,1339377.469
3,15,o,398613.346
3,16,n,1048078.405
3,17,o,323517.766
3,18,n,1005103.858
3,19,o,308806.309
3,20,n,735279.859
3,21,o,69308.667
3,22,n,523935.429
3,23,o,61226.522
3,24,n,420112.829
3,25,o,55573.904
3,26,n,263902.790
3,27,o,15688.152
3,28,n,204348.857
3,29,o,15541.647
3,30,n,102040.133
4,1,o,245176923.819
4,2,n,4635769.442
4,3,o,27275701.176
4,4,n,39396342.687
4,5,o,4544595.033
4,6,n,18400578.076
4,7,o,1269665.916
4,8,n,7567500.403
4,9,o,1040435.773
4,10,n,4863827.553
4,11,o,544360.548
4,12,n,2735793.883
4,13,o,154097.937
4,14,n,1495721.803
4,15,o,103212.166
4,16,n,1098500.247
4,17,o,129399.781
4,18,n,533433.781
4,19,o,104127.817
4,20,n,1018936.290
4,21,o,193165.708
4,22,n,635339.618
4,23,o,21426.230
4,24,n,462928.663
