string,bead,code,Volume
1,1,o,296954673.177
1,2,n,4717225.744
1,3,o,135543529.956
1,4,n,40825417.316
1,5,o,50673877.293
1,6,n,26935249.973
1,7,o,19864984.619
1,8,n,23058347.556
1,9,o,7324120.402
1,10,n,20213005.203
1,11,o,3739078.648
1,12,n,14551242.854
1,13,o,1431125.687
1,14,n,10897222.068
1,15,o,809117.945
1,16,n,7531704.559
1,17,o,797312.153
1,18,n,4776633.172
1,19,o,509065.259
1,20,n,2956722.126
1,21,o,486674.543
1,22,n,2508236.329
1,23,o,127727.192
1,24,n,1114371.528
1,25,o,183472.017
1,26,n,849882.722
1,27,o,198366.605
1,28,n,612546.016
