string,bead,code,Volume
1,1,o,141828606.374
1,2,n,12167852.470
1,3,o,9610622.715
1,4,n,13455794.777
1,5,o,1192470.443
1,6,n,8089103.975
1,7,o,473733.344
1,8,n,4932916.463
1,9,o,668058.876
1,10,n,2091004.748
1,11,o,1610422.336
1,12,n,2002162.196
1,13,o,369520.066
1,14,n,1393010.193
1,15,o,236262.342
1,16,n,592963.296
1,17,o,225689.627
1,18,n,488542.470
1,19,n,906982.710
2,1,o,61557059.381
2,2,n,2364454.724
2,3,o,10345072.384
2,4,n,11042517.549
2,5,o,1763482.536
2,6,n,9984135.019
2,7,o,890146.943
2,8,n,5378728.560
2,9,o,502362.694
2,10,n,2664751.584
2,11,o,254489.899
2,12,n,1629687.630
2,13,o,220098.052
2,14,n,773493.022
2,15,o,127519.645
2,16,n,733228.801
2,17,o,212907.141
2,18,n,540368.310
2,19,o,34037.795
2,20,n,358788.638
2,21,o,121244.384
2,22,n,240217.954
2,23,o,31705.938
2,24,n,292910.610
2,25,o,55988.999
3,1,o,53280930.664
3,2,n,15820652.388
3,3,o,5111114.331
3,4,n,10928525.119
3,5,o,1219158.614
3,6,n,6931171.882
3,7,o,101051.230
3,8,n,3548659.893
3,9,o,44464.006
3,10,n,2201078.192
3,11,o,468666.742
3,12,n,1247507.165
3,13,o,252206.876
3,14,n,821228.954
3,15,o,156759.429
3,16,n,615769.107
3,17,o,21084.387
3,18,n,262901.678
3,19,o,7325.207
3,20,n,284743.004
3,21,o,27457.317
3,22,n,175536.376
3,23,o,18337.435
3,24,n,123222.190
3,25,o,7093.242
3,26,n,66500.671
3,27,o,7190.912
3,28,n,50910.188
4,1,o,100726601.452
4,2,n,1929337.430
4,3,o,50161088.387
4,4,n,6892079.694
4,5,o,5032234.061
4,6,n,9502661.373
4,7,o,1519687.439
4,8,n,6692785.230
4,9,o,315069.361
4,10,n,3964243.302
4,11,o,283888.396
4,12,n,1761492.521
4,13,o,451183.915
4,14,n,934965.001
4,15,o,117081.225
4,16,n,618699.190
4,17,o,125786.012
4,18,n,592389.488
4,19,o,77757.072
4,20,n,454284.919
4,21,o,67416.322
