string,bead,code,Volume
1,1,o,201740888.198
1,2,n,4288347.084
1,3,o,101329319.481
1,4,n,54849513.859
1,5,o,32402515.868
1,6,n,35582937.606
1,7,o,29789687.792
1,8,n,48654293.313
1,9,o,10652071.808
1,10,n,26770969.998
1,11,o,3578961.832
1,12,n,20941240.654
1,13,o,1987499.574
1,14,n,11730024.849
1,15,o,868452.121
1,16,n,6053612.087
1,17,o,842203.463
1,18,n,2516440.560
1,19,o,1332577.235
1,20,n,2332858.665
1,21,o,284718.586
1,22,n,1152767.822
1,23,o,259764.048
1,24,n,534923.239
1,25,o,162155.665
1,26,n,523447.082
1,27,o,228460.997
1,28,n,331892.919
2,1,o,177256762.357
2,2,n,4747930.570
2,3,o,17100646.846
2,4,n,33436090.363
2,5,o,9737006.953
2,6,n,26273979.123
2,7,o,3511875.145
2,8,n,15666468.990
2,9,o,766534.075
2,10,n,11772572.093
2,11,o,900109.224
2,12,n,5154052.253
2,13,o,722228.782
2,14,n,3192203.113
2,15,o,368116.068
2,16,n,1607943.974
2,17,o,372462.357
2,18,n,1060592.300
2,19,o,271545.423
2,20,n,598786.835
2,21,o,127519.645
2,22,n,834450.952
2,23,o,204409.901
2,24,n,352794.177
2,25,o,64010.100
2,26,n,295364.554
2,27,o,60237.619
2,28,n,253171.362
2,29,o,14491.701
2,30,n,262022.653
3,1,o,103532961.495
3,2,n,550123.044
3,3,o,140349598.251
3,4,n,3358143.468
3,5,o,48961952.006
3,6,n,30035765.912
3,7,o,10047082.964
3,8,n,26905179.999
3,9,o,2972849.790
3,10,n,14583107.505
3,11,o,1164952.082
3,12,n,10033983.052
3,13,o,843021.445
3,14,n,5584212.824
3,15,o,747781.545
3,16,n,2398223.929
3,17,o,529710.134
3,18,n,1375051.227
3,19,o,163510.828
3,20,n,1053132.798
3,21,o,229340.022
3,22,n,852116.910
3,23,o,184070.243
3,24,n,544970.982
3,25,o,97217.705
3,26,n,365833.045
4,1,o,110540584.121
4,2,n,128532.965
4,3,o,80419687.095
4,4,n,35443367.996
4,5,o,19235566.210
4,6,n,29962062.121
4,7,o,6792237.123
4,8,n,23130500.845
4,9,o,2171350.060
4,10,n,12813239.830
4,11,o,1428842.664
4,12,n,10453778.455
4,13,o,1398089.003
4,14,n,4065184.654
4,15,o,473745.552
4,16,n,2606101.094
4,17,o,382974.029
4,18,n,1105385.941
4,19,o,340780.837
4,20,n,820496.433
4,21,o,322284.690
4,22,n,851482.059
4,23,o,195070.262
4,24,n,437583.447
4,25,o,199428.760
4,26,n,411139.450
4,27,o,60848.053
4,28,n,244747.374
4,29,o,78465.175
4,30,n,337337.990
4,31,o,15541.647
4,32,n,133929.201
