string,bead,code,Volume
1,1,o,116287990.348
1,2,n,883090.327
1,3,o,112366782.637
1,4,n,7712979.014
1,5,o,23282755.272
1,6,n,21128717.118
1,7,o,11158658.705
1,8,n,15572022.655
1,9,o,4592037.957
1,10,n,12565428.078
1,11,o,2100014.753
1,12,n,8350943.498
1,13,o,1110342.664
1,14,n,6817032.949
1,15,o,1050800.940
1,16,n,3902320.885
1,17,o,251828.407
1,18,n,2621874.706
1,19,o,291079.308
1,20,n,2649283.189
1,21,o,207401.027
1,22,n,1724488.017
1,23,o,210160.188
1,24,n,1277931.191
1,25,o,197927.092
1,26,n,1081005.211
1,27,o,48553.914
1,28,n,724633.891
1,29,o,111001.303
1,30,n,771710.555
2,1,o,170170198.417
2,2,n,2613670.474
2,3,o,38970235.398
2,4,n,17916674.903
2,5,o,10644014.080
2,6,n,12756664.815
2,7,o,4148643.178
2,8,n,9215146.999
2,9,o,1908485.008
2,10,n,8807206.223
2,11,o,760319.858
2,12,n,4935602.372
2,13,o,357164.883
2,14,n,2759906.023
2,15,o,346677.629
2,16,n,2159324.512
2,17,o,308635.387
2,18,n,1732387.032
2,19,o,108120.055
2,20,n,1555373.405
2,21,o,103773.765
2,22,n,1141279.455
2,23,o,168931.482
2,24,n,1201932.169
2,25,o,140705.017
2,26,n,702157.714
2,27,o,109255.462
2,28,n,415046.227
2,29,o,17580.497
2,30,n,361498.964
2,31,o,55354.147
2,32,n,281996.051
3,1,o,203135644.232
3,2,n,984483.400
3,3,o,151331145.660
3,4,n,12255693.910
3,5,o,25834723.086
3,6,n,19435275.770
3,7,o,9757896.001
3,8,n,17789521.519
3,9,o,5513610.037
3,10,n,10715801.109
3,11,o,2787937.148
3,12,n,9735395.407
3,13,o,2035552.931
3,14,n,5467351.355
3,15,o,831691.791
3,16,n,3971116.787
3,17,o,309026.065
3,18,n,2117082.485
3,19,o,268944.974
3,20,n,1733852.073
3,21,o,124247.719
3,22,n,1897130.937
3,23,o,130571.814
3,24,n,1296061.079
3,25,o,150435.334
3,26,n,674663.771
4,1,o,45242871.173
4,2,n,14029041.058
4,3,o,14373814.133
4,4,n,16710860.374
4,5,o,4352113.011
4,6,n,11215184.886
4,7,o,2022037.924
4,8,n,8386226.578
4,9,o,1233601.480
4,10,n,4944465.873
4,11,o,777509.677
4,12,n,3995668.439
4,13,o,452697.791
4,14,n,2682771.594
4,15,o,339779.725
4,16,n,1837931.056
4,17,o,160922.589
4,18,n,1513546.474
4,19,o,363208.179
4,20,n,969149.300
4,21,o,39763.665
4,22,n,593732.443
4,23,o,132171.151
4,24,n,502289.442
4,25,o,33488.405
4,26,n,685798.086
4,27,o,14320.780
4,28,n,369459.022
4,29,o,17433.993
4,30,n,486137.361
4,31,o,4102.116
4,32,n,326936.196
5,1,o,618796.859
