string,bead,code,Volume
1,1,o,73182614.570
1,2,n,1704441.367
1,3,o,173630931.409
1,4,n,7236376.631
1,5,o,35239495.277
1,6,n,33225051.150
1,7,o,17727281.677
1,8,n,24643998.484
1,9,o,1061556.786
1,10,n,5126411.805
1,11,o,564138.606
1,12,n,3033136.243
1,13,o,475747.776
1,14,n,1860150.850
1,15,o,385012.879
1,16,n,1145308.319
1,17,o,266368.943
1,18,n,824793.888
1,19,o,137640.639
1,20,n,429476.885
1,21,o,67159.939
1,22,n,391849.738
1,23,o,34025.586
1,24,n,299161.453
2,1,o,110670765.258
2,2,n,588372.833
2,3,o,130089461.642
2,4,n,5558855.399
2,5,o,7587571.471
2,6,n,13212597.906
2,7,o,1497235.679
2,8,n,4755438.907
2,9,o,811095.751
2,10,n,3564164.914
2,11,o,301090.424
2,12,n,2219672.009
2,13,o,239009.295
2,14,n,1347093.354
2,15,o,179467.571
2,16,n,642762.495
2,17,o,91284.288
2,18,n,422176.095
2,19,o,111965.789
2,20,n,244991.547
2,21,o,93896.945
2,22,n,409637.783
2,23,o,87072.294
2,24,n,223382.187
3,1,o,102413816.374
3,2,n,1017446.831
3,3,o,60786618.529
3,4,n,21184681.699
3,5,o,16006553.933
3,6,n,24823844.524
3,7,o,6981435.011
3,8,n,19043023.145
3,9,o,1609286.929
3,10,n,6594810.587
3,11,o,716161.068
3,12,n,4218928.539
3,13,o,651674.830
3,14,n,2073473.086
3,15,o,236909.402
3,16,n,1731251.625
3,17,o,499823.289
3,18,n,1070774.338
3,19,o,277185.832
3,20,n,896361.160
3,21,o,284132.570
3,22,n,278785.169
3,23,o,91394.166
3,24,n,475430.350
3,25,o,8863.500
3,26,n,234003.737
4,1,o,74261544.305
4,2,n,251694.112
4,3,o,92928344.820
4,4,n,6280949.885
4,5,o,32143166.915
4,6,n,31025169.409
4,7,o,2555899.009
4,8,n,5079115.386
4,9,o,1409736.082
4,10,n,6161634.472
4,11,o,842972.610
4,12,n,842972.610
4,13,o,3467264.634
4,14,n,397917.452
4,15,o,1475711.780
4,16,n,158602.940
4,17,o,581853.399
4,18,n,35930.140
4,19,o,360033.923
4,20,n,59737.063
4,21,o,313714.197
