string,bead,code,Volume
1,1,o,823745064.789
1,2,n,565774.569
1,3,o,140088393.579
1,4,n,62152000.483
1,5,o,17109839.981
1,6,n,32718635.175
1,7,o,4650529.734
1,8,n,16728929.218
1,9,o,1523069.243
1,10,n,10389438.721
1,11,o,908704.134
1,12,n,4564873.647
1,13,o,2397222.817
1,14,n,4419504.915
1,15,o,575321.756
1,16,n,1030766.499
1,17,o,199880.481
1,18,n,623216.401
2,1,o,663633767.337
2,2,n,872664.115
2,3,o,128511721.938
2,4,n,57883529.127
2,5,o,20762444.561
2,6,n,45032381.350
2,7,o,3461111.461
2,8,n,14473156.148
2,9,o,1342319.761
2,10,n,6452848.076
2,11,o,758244.383
2,12,n,3237729.274
2,13,o,486515.830
2,14,n,1401812.650
2,15,o,143696.143
2,16,n,967855.180
2,17,o,86132.225
2,18,n,639295.230
2,19,o,89831.455
2,20,n,428365.895
2,21,o,33769.204
2,22,n,381533.405
