string,bead,code,Volume
1,1,o,266968254.742
1,2,n,11391185.192
1,3,o,31971073.386
1,4,n,51351947.285
1,5,o,5038362.818
1,6,n,27523976.858
1,7,o,1396367.579
1,8,n,9806376.663
1,9,o,854656.315
1,10,n,4577204.412
1,11,o,416767.651
1,12,n,2979906.406
1,13,o,419184.969
1,14,n,1779060.809
1,15,o,208866.068
1,16,n,763310.984
1,17,o,218901.602
1,18,n,496185.103
1,19,o,65560.602
1,20,n,416853.112
1,21,o,454956.396
1,22,n,105031.259
2,1,o,244051308.098
2,2,n,20396306.299
2,3,o,12654404.926
2,4,n,28017060.957
2,5,o,2913942.917
2,6,n,13368527.145
2,7,o,541039.787
2,8,n,3083826.675
2,9,o,307316.850
2,10,n,2211882.872
2,11,o,640845.732
2,12,n,1380752.680
2,13,o,136468.606
2,14,n,862066.983
2,15,o,96472.976
2,16,n,397111.679
2,17,o,148115.685
2,18,n,354491.183
2,19,o,99000.172
2,20,n,223748.447
2,21,o,36406.279
2,22,n,159127.913
2,23,o,26505.041
2,24,n,113137.822
3,1,o,100131660.350
3,2,n,11994440.403
3,3,o,16447983.114
3,4,n,39455188.517
3,5,o,3075097.470
3,6,n,17508392.284
3,7,o,1059859.780
3,8,n,7863182.383
3,9,o,515108.554
3,10,n,3013919.783
3,11,o,200613.002
3,12,n,1235225.235
3,13,o,344187.058
3,14,n,658621.568
3,15,o,111831.493
3,16,n,306108.191
3,17,o,52424.065
3,18,n,206522.002
3,19,o,28629.351
3,20,n,187867.142
3,21,o,42364.114
3,22,n,150557.421
3,23,o,23416.245
3,24,n,99928.032
4,1,o,76276537.822
4,2,n,268334.540
4,3,o,40369691.773
4,4,n,19117557.126
4,5,o,6715981.719
4,6,n,31040503.509
4,7,o,2300322.537
4,8,n,14324124.812
4,9,o,1652554.485
4,10,n,3631703.322
4,11,o,590338.430
4,12,n,3123211.871
4,13,o,492058.570
4,14,n,1773127.391
4,15,o,223235.683
4,16,n,1062130.594
4,17,o,149104.588
4,18,n,425557.899
4,19,o,34196.508
4,20,n,417109.494
4,21,o,37505.060
4,22,n,157992.506
5,1,o,237820010.907
5,2,n,234357.788
5,3,o,53412991.937
5,4,n,47919880.270
5,5,o,6877478.115
5,6,n,24153832.259
5,7,o,1453040.264
5,8,n,12627362.703
5,9,o,1201517.074
5,10,n,4723635.300
5,11,o,709348.626
5,12,n,3585200.467
5,13,o,324067.157
5,14,n,1433762.761
5,15,o,169517.498
5,16,n,1193557.016
5,17,o,262181.366
5,18,n,727576.183
5,19,o,156576.299
5,20,n,551759.007
5,21,o,121867.027
5,22,n,282179.181
5,23,o,195045.844
5,24,n,293313.496
5,25,o,63790.344
5,26,n,261400.011
5,27,o,26981.179
5,28,n,301224.719
5,29,o,52656.029
5,30,n,141901.468
